,value_of_k,result_of_knn
1,4,13.17
2,5,16.44
3,6,17.67
4,7,18.3
5,8,18.36
6,9,18.68
7,10,19.08
8,11,19.32
9,12,19.7
10,13,19.82
11,14,19.83
12,15,20.07
13,16,20.47
14,17,20.69
15,18,20.71
16,19,20.97
17,20,21.39
18,21,21.04
19,22,21.19
20,23,21.36
21,24,21.65
22,25,21.56
23,26,21.62
24,27,21.8
25,28,22.08
26,29,21.86
27,30,22.03
28,31,22.15
29,32,22.47
30,33,22.54
31,34,22.6
32,35,22.57
33,36,22.67
34,37,22.82
35,38,22.81
36,39,22.82
37,40,22.79
38,41,22.76
39,42,22.79
40,43,22.78
41,44,22.69
42,45,23.12
43,46,23.16
44,47,23.28
45,48,23.18
46,49,23.2
47,50,23.28
48,51,23.23
49,52,23.38
50,53,23.43
51,54,23.47
52,55,23.51
53,56,23.47
54,57,23.43
55,58,23.54
56,59,23.62
57,60,23.55
58,61,23.71
59,62,23.58
60,63,23.54
61,64,23.65
62,65,23.6
63,66,23.56
64,67,23.57
65,68,23.66
66,69,23.67
67,70,23.72
68,71,23.65
69,72,23.73
70,73,23.79
71,74,23.7
72,75,23.86
73,76,23.89
74,77,23.79
75,78,23.85
76,79,23.83
77,80,23.8
78,81,23.87
79,82,23.8
80,83,23.91
81,84,23.87
82,85,23.82
83,86,23.86
84,87,23.9
85,88,23.93
86,89,23.91
87,90,23.86
88,91,23.9
89,92,23.95
90,93,24.03
91,94,24.03
92,95,24.02
93,96,24.01
94,97,24.01
95,98,24.02
96,99,23.99
97,100,24.04
98,101,24.09
99,102,24.13
100,103,24.1
101,104,24.16
102,105,24.2
103,106,24.18
104,107,24.16
105,108,24.19
106,109,24.22
107,110,24.28
108,111,24.27
109,112,24.27
110,113,24.25
111,114,24.28
112,115,24.32
113,116,24.26
114,117,24.23
115,118,24.24
116,119,24.25
117,120,24.26
118,121,24.26
119,122,24.31
120,123,24.36
121,124,24.32
122,125,24.32
123,126,24.35
124,127,24.33
125,128,24.32
126,129,24.37
127,130,24.36
128,131,24.35
129,132,24.37
130,133,24.35
131,134,24.34
132,135,24.32
133,136,24.38
134,137,24.39
135,138,24.34
136,139,24.41
137,140,24.41
138,141,24.45
139,142,24.45
140,143,24.41
141,144,24.45
142,145,24.45
143,146,24.45
144,147,24.43
145,148,24.49
146,149,24.43
147,150,24.47
148,151,24.46
149,152,24.47
