,latitude,longitude,type
0,29.8830556,-97.9411111,cylinder
1,29.38421,-98.581082,light
2,53.2,-2.916667,circle
3,28.9783333,-96.6458333,circle
4,21.4180556,-157.8036111,light
5,36.595,-82.1888889,sphere
6,51.434722,-3.18,circle
7,41.1175,-73.4083333,disk
8,33.5861111,-86.2861111,disk
9,30.2947222,-82.9841667,disk
10,33.9163889,-118.3516667,circle
11,35.2333333,-82.7344444,fireball
12,40.6686111,-73.5275,disk
13,37.1536111,-83.7619444,unknown
14,35.8238889,-80.2536111,oval
15,36.8430556,-83.3219444,circle
16,42.5377778,-83.2330556,disk
17,41.3252778,-72.1936111,disk
18,32.364167,-64.678611,light
19,42.3916667,-71.5666667,other
20,51.5,-3.2,disk
21,38.1055556,-98.6597222,light
22,32.8544444,-79.975,light
23,45.5827778,-122.3522222,oval
24,51.783333,-0.783333,cigar
25,29.4238889,-98.4933333,other
26,38.2541667,-85.7594444,light
27,40.7008333,-73.7133333,rectangle
28,41.7002778,-73.9213889,chevron
29,53.970571,-111.689885,triangle
30,32.7152778,-117.1563889,oval
31,38.7583333,-104.7425,unknown
32,29.7630556,-95.3630556,sphere
33,32.7833333,-96.8,unknown
34,42.9955556,-71.4552778,light
35,-38.662334,178.017649,disk
36,29.7630556,-95.3630556,circle
37,44.7630556,-85.6205556,other
38,41.0338889,-73.7633333,formation
39,53.8,-1.583333,triangle
40,41.523427,-73.646795,chevron
41,43.0388889,-87.9063889,triangle
42,43.9627778,-70.2830556,unknown
43,40.015,-105.27,light
44,47.6063889,-122.3308333,unknown
45,34.1577778,-118.6375,disk
46,46.7163889,-122.9530556,triangle
47,36.722263,-86.577218,triangle
48,31.7058333,-83.6533333,triangle
49,35.235,-75.6288889,unknown
50,40.2736111,-76.8847222,triangle
51,30.1586111,-85.6602778,formation
52,29.6158333,-95.5575,unknown
53,35.8905556,-83.7247222,cigar
54,32.7591667,-97.7969444,unknown
55,55.183333,59.65,sphere
56,40.6936111,-89.5888889,light
57,36.2522222,-85.9516667,other
58,26.149798,-97.913611,cigar
59,42.9097222,-73.8955556,rectangle
60,34.1027778,-91.9922222,light
61,43.666667,-79.416667,sphere
62,39.0725,-93.7169444,triangle
63,-33.093373,151.588982,light
64,32.7763889,-79.9311111,light
65,39.4402778,-84.3622222,cylinder
66,39.6411111,-85.1411111,delta
67,33.4222222,-111.8219444,sphere
