,states,sightings
0,CA,8912
1,WA,3966
2,FL,3835
3,TX,3447
4,NY,2980
5,IL,2499
6,AZ,2414
7,PA,2366
8,OH,2275
9,MI,1836
10,OR,1747
11,NC,1740
12,MO,1458
13,CO,1413
14,IN,1288
15,VA,1273
16,MA,1256
17,GA,1255
18,NJ,1255
19,WI,1232
20,TN,1119
21,MN,1012
22,SC,1003
23,CT,892
24,KY,855
25,MD,837
26,NV,803
27,OK,724
28,NM,720
29,IA,678
30,AL,642
31,UT,622
32,KS,613
33,AR,588
34,LA,558
35,ME,558
36,ID,521
37,NH,486
38,MT,478
39,WV,448
40,NE,381
41,MS,375
42,AK,319
43,HI,262
44,VT,260
45,RI,228
46,SD,183
47,WY,175
48,DE,166
49,ND,129
50,PR,25
51,DC,7
