,ufos,duration_of_sighting,time_of_day
0,0,45.0,830
1,2,1200.0,500
2,1,15.0,800
3,4,20.0,1145
4,4,10.0,900
5,2,1800.0,900
6,4,20.0,700
7,1,45.0,730
8,1,20.0,930
9,9,1800.0,0
10,3,15.0,1200
11,10,900.0,1000
12,10,10.0,600
13,3,30.0,1000
14,10,10.0,1000
15,1,600.0,600
16,12,1800.0,1000
17,3,20.0,1500
18,3,1800.0,500
19,6,10.0,530
20,10,10.0,830
21,1,900.0,1150
22,11,600.0,1800
23,16,10.0,1030
24,3,45.0,1145
25,1,600.0,1815
26,6,1800.0,1930
27,3,2700.0,400
28,1,900.0,820
29,11,1800.0,1100
30,1,5400.0,1800
31,6,30.0,830
32,1,30.0,600
33,1,10.0,715
34,4,720.0,805
35,10,45.0,1100
36,4,20.0,1550
37,13,900.0,2030
38,10,1800.0,2100
39,1,30.0,2130
40,1,600.0,245
41,10,10.0,1100
42,6,10.0,1700
43,1,10.0,400
44,1,45.0,1600
45,1,1800.0,1630
46,1,1800.0,855
47,6,2100.0,943
48,5,10.0,1000
49,0,10.0,1000
50,14,900.0,1105
51,6,10.0,1650
52,4,2700.0,1800
53,1,15.0,600
54,16,10.0,700
55,5,600.0,800
56,2,15.0,930
57,10,1800.0,1000
58,13,15.0,730
59,10,10.0,845
60,1,15.0,1100
61,1,1800.0,900
62,2,600.0,930
63,1,45.0,615
64,3,30.0,730
65,3,15.0,800
66,9,900.0,900
67,5,15.0,740
68,1,900.0,800
69,1,30.0,815
70,4,1800.0,817
71,10,15.0,900
72,1,10.0,900
73,1,1200.0,1101
74,1,10.0,1700
75,13,600.0,510
76,17,10.0,720
77,5,20.0,830
78,0,2700.0,832
79,2,2700.0,917
80,2,1200.0,830
81,7,1800.0,930
82,1,3600.0,1159
83,10,15.0,2200
84,5,600.0,230
85,1,1800.0,1040
86,1,600.0,2110
87,1,1800.0,815
88,11,1800.0,815
89,1,0.25,835
90,1,1800.0,800
91,1,30.0,1415
92,10,15.0,1715
93,10,600.0,800
94,13,10.0,1040
95,1,1200.0,1540
96,10,720.0,1700
97,4,45.0,2300
98,10,10.0,400
99,1,90.0,645
100,1,30.0,700
101,2,30.0,700
102,3,30.0,745
103,4,600.0,900
104,2,1800.0,1740
105,15,10.0,2100
106,15,10.0,730
107,2,15.0,900
108,1,15.0,400
109,5,600.0,750
110,1,30.0,815
111,11,1800.0,730
112,1,15.0,830
113,4,1800.0,1030
114,4,600.0,1200
115,8,1200.0,2145
116,4,20.0,30
117,3,10.0,600
118,4,600.0,700
119,4,900.0,935
120,7,900.0,1120
121,3,5400.0,740
122,4,30.0,742
123,4,1800.0,910
124,1,12.0,730
125,6,600.0,842
126,3,1800.0,901
127,13,2700.0,1015
128,4,600.0,2105
129,4,10.0,435
130,18,10.0,720
131,4,3600.0,750
132,7,5400.0,900
133,6,15.0,1000
134,4,600.0,1100
135,2,600.0,900
136,5,30.0,700
137,10,1800.0,1000
