,latitude,longitude,type
0,29.8830556,-97.9411111,0
1,29.38421,-98.581082,1
2,53.2,-2.916667,2
3,28.9783333,-96.6458333,2
4,21.4180556,-157.8036111,1
5,36.595,-82.1888889,3
6,51.434722,-3.18,2
7,41.1175,-73.4083333,4
8,33.5861111,-86.2861111,4
9,30.2947222,-82.9841667,4
10,33.9163889,-118.3516667,2
11,35.2333333,-82.7344444,5
12,40.6686111,-73.5275,4
13,35.8238889,-80.2536111,6
14,36.8430556,-83.3219444,2
15,42.5377778,-83.2330556,4
16,41.3252778,-72.1936111,4
17,32.364167,-64.678611,1
18,51.5,-3.2,4
19,38.1055556,-98.6597222,1
20,32.8544444,-79.975,1
21,45.5827778,-122.3522222,6
22,51.783333,-0.783333,7
23,38.2541667,-85.7594444,1
24,40.7008333,-73.7133333,8
25,41.7002778,-73.9213889,9
26,53.970571,-111.689885,10
27,32.7152778,-117.1563889,6
28,29.7630556,-95.3630556,3
29,42.9955556,-71.4552778,1
30,-38.662334,178.017649,4
31,29.7630556,-95.3630556,2
32,41.0338889,-73.7633333,11
33,53.8,-1.583333,10
34,41.523427,-73.646795,9
35,43.0388889,-87.9063889,10
36,40.015,-105.27,1
37,34.1577778,-118.6375,4
38,46.7163889,-122.9530556,10
39,36.722263,-86.577218,10
40,31.7058333,-83.6533333,10
41,40.2736111,-76.8847222,10
42,30.1586111,-85.6602778,11
43,35.8905556,-83.7247222,7
44,55.183333,59.65,3
45,40.6936111,-89.5888889,1
46,26.149798,-97.913611,7
47,42.9097222,-73.8955556,8
48,34.1027778,-91.9922222,1
49,43.666667,-79.416667,3
50,39.0725,-93.7169444,10
51,-33.093373,151.588982,1
52,32.7763889,-79.9311111,1
53,39.4402778,-84.3622222,0
54,39.6411111,-85.1411111,12
55,33.4222222,-111.8219444,3
56,32.5436111,-83.5961111,10
57,34.0983333,-118.3258333,13
58,33.4483333,-112.0733333,5
59,42.0372222,-88.2811111,0
60,36.175,-115.1363889,7
61,36.175,-115.1363889,2
62,40.935998,-73.901708,10
63,47.6588889,-117.425,10
64,35.5847222,-80.8102778,1
65,47.55,-52.666667,14
66,35.265,-84.5533333,5
67,38.0194444,-122.1330556,13
68,32.7152778,-117.1563889,5
69,46.2113889,-119.1361111,3
70,37.6688889,-122.0797222,2
71,37.6447222,-115.7427778,1
72,41.6916667,-97.4841667,3
73,27.150053,-82.480653,10
74,45.565,-117.9163889,9
75,44.8838889,-84.3055556,6
76,37.7241667,-89.8611111,6
77,46.216667,-63.483333,0
78,43.40555,-88.705104,10
79,38.627003,-90.199404,6
80,38.1266667,-92.0844444,1
81,38.9988889,-84.6266667,1
82,47.5405556,-122.635,15
83,42.3952778,-94.6336111,10
84,-33.861481,151.205475,11
85,37.6688889,-122.0797222,2
86,41.0041667,-92.3736111,8
87,36.7477778,-119.7713889,13
88,33.4483333,-112.0733333,10
89,36.8527778,-75.9783333,10
90,46.0130556,-91.4844444,16
91,-34.928661,138.598633,2
92,47.6063889,-122.3308333,3
93,45.5236111,-122.675,2
94,41.79393,-86.743915,1
95,34.0952778,-118.1261111,6
96,39.7683333,-86.1580556,3
97,42.9897222,-116.0925,1
98,41.7791667,-83.5688889,6
99,33.8075,-78.7011111,11
100,35.0844444,-106.6505556,1
101,45.3088889,-89.4963889,3
102,41.0886111,-74.1441667,10
103,49.966667,-98.3,13
104,39.4666667,-87.4138889,3
105,39.7683333,-86.1580556,6
106,39.6294444,-79.9561111,2
107,41.5094444,-90.5786111,3
108,55.288131,23.957728,6
109,42.209774,-79.466844,11
110,42.2669444,-79.7108333,2
111,44.295,-93.2686111,16
112,40.7583333,-82.5155556,1
113,38.9516667,-92.3338889,1
114,45.3088889,-89.4963889,3
115,25.9327778,-80.1627778,6
116,34.0522222,-118.2427778,14
117,40.5030556,-78.6305556,10
118,52.516667,-3.3,11
119,47.4158333,-120.2919444,1
120,35.3186111,-82.4611111,1
121,46.3580556,-94.2005556,4
122,31.1911111,-95.2352778,15
123,37.775,-122.4183333,10
124,35.2247222,-88.2491667,1
125,38.0683333,-78.8897222,10
126,35.20105,-91.831833,5
127,50.396389,-4.138611,11
128,31.2133333,-82.3541667,1
129,33.5058333,-102.0086111,4
130,44.5366667,-122.9058333,1
131,33.5441667,-84.2338889,13
132,39.7391667,-104.9841667,13
133,30.3319444,-81.6558333,3
134,33.7205556,-116.2147222,6
135,42.1033333,-76.2625,10
136,40.0063889,-75.7036111,2
137,30.2669444,-97.7427778,16
138,33.5394444,-83.8194444,3
139,26.705621,-80.03643,5
140,27.2541667,-80.23,6
141,29.7630556,-95.3630556,11
142,46.7833333,-92.1063889,1
143,40.68,-102.8388889,2
144,39.8855556,-104.9866667,10
145,59.900209,5.282347,1
146,45.5113889,-92.98,1
147,42.6291667,-73.865,2
148,40.7138889,-116.1030556,4
149,37.9747222,-87.5558333,11
150,42.6525,-73.7566667,6
151,37.5483333,-121.9875,10
152,32.7252778,-114.6236111,10
153,41.6833333,-86.25,1
154,43.8280556,-91.3038889,11
155,39.9522222,-75.1641667,6
156,47.6063889,-122.3308333,1
157,38.2544444,-104.6086111,1
158,39.1619444,-84.4569444,6
159,32.7152778,-117.1563889,4
160,43.0730556,-89.4011111,2
161,40.4797222,-84.6283333,3
162,38.8697222,-106.9872222,14
163,33.8352778,-117.9136111,1
164,34.2255556,-77.945,1
165,39.1155556,-77.5638889,4
166,41.7075,-86.895,13
167,37.3230556,-122.0311111,1
168,42.7675,-78.7441667,1
169,40.2736111,-76.8847222,2
170,41.5930556,-81.5269444,2
171,34.3769444,-82.6958333,11
172,41.0263889,-73.6288889,1
173,32.8544444,-79.975,1
174,37.615223,-122.389979,10
175,38.7891667,-77.1875,7
176,41.1669444,-73.2052778,1
177,45.4077778,-122.5691667,10
178,31.4636111,-100.4366667,6
179,41.8525,-72.6441667,5
180,41.7886111,-89.6961111,0
181,35.8752778,-110.6197222,4
182,42.6525,-73.7566667,2
183,33.7738889,-117.9405556,14
184,25.7738889,-80.1938889,13
185,42.7283333,-73.6922222,10
186,36.7280556,-108.2180556,2
187,42.0963889,-79.3758333,2
188,51.316667,-0.266667,6
189,41.55,-71.4666667,6
190,41.35,-72.0788889,4
191,42.468164,-71.014118,16
192,37.6086111,-77.3736111,1
193,43.25,-79.833333,16
194,41.5622222,-72.6511111,5
195,41.4819444,-81.7983333,5
196,39.9625,-76.7280556,2
197,41.1238889,-100.765,2
198,39.5297222,-84.0866667,10
199,41.1669444,-73.2052778,2
200,37.615223,-122.389979,10
201,32.7152778,-117.1563889,3
202,42.5802778,-83.0302778,6
203,43.0480556,-76.1477778,1
204,43.0480556,-76.1477778,2
205,38.8338889,-104.8208333,1
206,32.9975,-87.63,13
207,40.7141667,-74.0063889,4
208,44.136076,-79.308339,10
209,32.3122222,-106.7777778,5
210,37.7305556,-88.9330556,1
211,33.4483333,-112.0733333,3
212,46.6022222,-120.5047222,1
213,30.2669444,-97.7427778,13
214,36.3436111,-83.2841667,7
215,46.8219444,-123.095,1
216,41.1147222,-74.15,0
217,33.7397222,-116.4119444,8
218,40.858433,-74.163755,1
219,28.0777778,-82.7638889,9
220,36.864209,-86.710273,10
221,38.6272222,-90.1977778,1
222,45.416667,-75.7,1
223,40.9780556,-81.7822222,1
224,45.716667,-67.0,1
225,44.4905556,-73.1113889,1
226,29.9938889,-90.2416667,2
227,39.7463889,-84.2866667,2
228,42.7647222,-71.4402778,1
229,42.9275,-83.63,1
230,44.7791667,-93.3361111,2
231,42.4775,-83.0277778,3
232,42.3086111,-83.4822222,10
233,39.1611111,-80.3522222,10
234,42.7647222,-71.4402778,1
235,26.9338889,-80.0944444,14
236,42.5294444,-83.7802778,2
237,44.9133333,-93.5030556,1
238,38.3708333,-90.5002778,5
239,41.2455556,-89.9247222,3
240,41.2455556,-89.9247222,3
241,35.0844444,-106.6505556,3
242,39.7763889,-74.8627778,10
243,33.9533333,-117.3952778,9
244,36.6336111,-81.7838889,1
245,64.066667,-21.95,3
246,18.4463889,-66.3880556,7
247,36.5452778,-82.6611111,1
248,39.7944444,-87.3958333,3
249,44.3875,-68.2044444,3
250,38.4088889,-121.3705556,5
251,32.3666667,-86.3,1
252,34.0522222,-118.2427778,1
253,41.9438889,-85.6325,6
254,45.2630556,-122.6913889,1
255,45.333333,-80.033333,4
256,42.0386111,-78.3411111,6
257,42.0386111,-78.3411111,6
258,42.0386111,-78.3411111,6
259,42.0386111,-78.3411111,6
260,40.9730556,-117.7347222,7
261,42.1947222,-122.7083333,10
262,37.6866667,-96.9763889,1
263,30.3880556,-95.6961111,1
264,36.4011111,-93.7377778,1
265,37.704344,-88.426757,4
266,41.9316667,-87.9888889,4
267,51.514125,-0.093689,15
268,43.9747222,-75.9111111,1
269,38.7138889,-121.4616667,1
270,52.75,-3.883333,13
271,33.9791667,-118.0319444,1
272,45.1244444,-92.6733333,1
